gtf_gene	gtf_gene_trimmed	crovir_transcript	converted_id	converted_id_no_dups
myotoxin1	myotoxin1	NA	Venom_myotoxin	Venom_myotoxin
maker-scaffold-Z-augustus-gene-0.12_crovir-transcript-1688	maker-scaffold-Z-augustus-gene-0.12	crovir-transcript-1688	MAP4	MAP4
maker-scaffold-Z-augustus-gene-0.8_crovir-transcript-1686	maker-scaffold-Z-augustus-gene-0.8	crovir-transcript-1686	ZNF282	ZNF282
augustus_masked-scaffold-Z-processed-gene-0.1_crovir-transcript-1684	augustus_masked-scaffold-Z-processed-gene-0.1	crovir-transcript-1684	ZNF267	ZNF267
augustus_masked-scaffold-Z-processed-gene-0.2_crovir-transcript-1685	augustus_masked-scaffold-Z-processed-gene-0.2	crovir-transcript-1685	SETD2	SETD2
maker-scaffold-Z-augustus-gene-0.11_crovir-transcript-1687	maker-scaffold-Z-augustus-gene-0.11	crovir-transcript-1687	SETD2	SETD2.1
maker-scaffold-Z-augustus-gene-0.13_crovir-transcript-1690	maker-scaffold-Z-augustus-gene-0.13	crovir-transcript-1690	NGFR	NGFR
maker-scaffold-Z-augustus-gene-0.14_crovir-transcript-1692	maker-scaffold-Z-augustus-gene-0.14	crovir-transcript-1692	maker-scaffold-Z-augustus-gene-0.14_crovir-transcript-1692	maker-scaffold-Z-augustus-gene-0.14_crovir-transcript-1692
maker-scaffold-Z-augustus-gene-0.15_crovir-transcript-1693	maker-scaffold-Z-augustus-gene-0.15	crovir-transcript-1693	maker-scaffold-Z-augustus-gene-0.15_crovir-transcript-1693	maker-scaffold-Z-augustus-gene-0.15_crovir-transcript-1693
maker-scaffold-Z-augustus-gene-0.16_crovir-transcript-1694	maker-scaffold-Z-augustus-gene-0.16	crovir-transcript-1694	NBEAL1	NBEAL1
maker-scaffold-Z-augustus-gene-0.17_crovir-transcript-1689	maker-scaffold-Z-augustus-gene-0.17	crovir-transcript-1689	NBEAL2	NBEAL2
maker-scaffold-Z-augustus-gene-0.18_crovir-transcript-1691	maker-scaffold-Z-augustus-gene-0.18	crovir-transcript-1691	NBEAL2	NBEAL2.1
